OrderId,PartnerId,OrderTotal,OrderDate,PartnerName,PartnerGeoLat,PartnerGeoLon
20051,190050,2000,2021-01-11,FoodieLand,-27.49079,153.06798999999998
20052,190050,2000,2021-01-12,FoodieLand,-27.49079,153.06798999999998
20053,190050,2000,2021-01-13,FoodieLand,-27.49079,153.06798999999998
20054,190050,2000,2021-01-14,FoodieLand,-27.49079,153.06798999999998
20055,190050,2000,2021-01-15,FoodieLand,-27.49079,153.06798999999998
20056,190050,2000,2021-01-16,FoodieLand,-27.49079,153.06798999999998
20057,190050,2000,2021-01-17,FoodieLand,-27.49079,153.06798999999998
20058,190050,2000,2021-01-18,FoodieLand,-27.49079,153.06798999999998
20059,190050,2000,2021-01-19,FoodieLand,-27.49079,153.06798999999998
20060,190050,2000,2021-01-20,FoodieLand,-27.49079,153.06798999999998
20061,190050,2000,2021-01-21,FoodieLand,-27.49079,153.06798999999998
20062,190050,2000,2021-01-22,FoodieLand,-27.49079,153.06798999999998
20063,190050,2000,2021-01-23,FoodieLand,-27.49079,153.06798999999998
20064,190050,2000,2021-01-24,FoodieLand,-27.49079,153.06798999999998
20065,190050,2000,2021-01-25,FoodieLand,-27.49079,153.06798999999998
20066,190050,2000,2021-01-26,FoodieLand,-27.49079,153.06798999999998
20067,190050,2000,2021-01-27,FoodieLand,-27.49079,153.06798999999998
20068,190050,2000,2021-01-28,FoodieLand,-27.49079,153.06798999999998
20069,190050,2000,2021-01-29,FoodieLand,-27.49079,153.06798999999998
20070,190050,2000,2021-01-30,FoodieLand,-27.49079,153.06798999999998
20071,190050,2000,2021-01-31,FoodieLand,-27.49079,153.06798999999998
20072,190050,2000,2021-02-01,FoodieLand,-27.49079,153.06798999999998
20073,190050,2000,2021-02-02,FoodieLand,-27.49079,153.06798999999998
20074,190050,2000,2021-02-03,FoodieLand,-27.49079,153.06798999999998
20075,190050,2000,2021-02-04,FoodieLand,-27.49079,153.06798999999998
20076,190050,2000,2021-02-05,FoodieLand,-27.49079,153.06798999999998
20077,190050,2000,2021-02-06,FoodieLand,-27.49079,153.06798999999998
20078,190050,2000,2021-02-07,FoodieLand,-27.49079,153.06798999999998
20079,190050,2000,2021-02-08,FoodieLand,-27.49079,153.06798999999998
20080,190050,2000,2021-02-09,FoodieLand,-27.49079,153.06798999999998
20081,190050,2000,2021-02-10,FoodieLand,-27.49079,153.06798999999998
20082,190050,2000,2021-02-11,FoodieLand,-27.49079,153.06798999999998
20083,190050,2000,2021-02-12,FoodieLand,-27.49079,153.06798999999998
20084,190050,2000,2021-02-13,FoodieLand,-27.49079,153.06798999999998
20085,190050,2000,2021-02-14,FoodieLand,-27.49079,153.06798999999998
20086,190050,2000,2021-02-15,FoodieLand,-27.49079,153.06798999999998
20087,190050,2000,2021-02-16,FoodieLand,-27.49079,153.06798999999998
20088,190050,2000,2021-02-17,FoodieLand,-27.49079,153.06798999999998
20089,190050,2000,2021-02-18,FoodieLand,-27.49079,153.06798999999998
20090,190050,2000,2021-02-19,FoodieLand,-27.49079,153.06798999999998
20091,190050,2000,2021-02-20,FoodieLand,-27.49079,153.06798999999998
20092,190050,2000,2021-02-21,FoodieLand,-27.49079,153.06798999999998
20093,190050,2000,2021-02-22,FoodieLand,-27.49079,153.06798999999998
20094,190050,2000,2021-02-23,FoodieLand,-27.49079,153.06798999999998
20095,190050,2000,2021-02-24,FoodieLand,-27.49079,153.06798999999998
20096,190050,2000,2021-02-25,FoodieLand,-27.49079,153.06798999999998
20097,190050,2000,2021-02-26,FoodieLand,-27.49079,153.06798999999998
20098,190050,2000,2021-02-27,FoodieLand,-27.49079,153.06798999999998
20099,190050,2000,2021-02-28,FoodieLand,-27.49079,153.06798999999998
